|name                    |ra         |dec        |vmag |bv_color|porb     |flux_limit|flux    |flux_max|xray_type       |pulse_period|alt_name_1           |alt_name_2|
|SLX 1744-299            |17 47 25.90|-29 59 57.8|     |        |         |          |    6.00|        |B               |            |AX J1747.4-3000      |          |
|MXB 1659-298            |17 02 06.50|-29 56 44.1|18.30|    0.45|   0.2963|&lt;         |    5.00|      80|T, B, D, E      |     0.00180|                     |No. T     |
|1E 1740.7-2942          |17 43 54.83|-29 44 42.6|     |        |  12.7300|          |    4.00|      30|M, R            |            |                     |          |
|1A 1742-294             |17 46 05.20|-29 30 53.3|     |        |         |          |   60.00|     180|B               |            |GC X-1               |          |
|GC X-2                  |17 45 37.00|-29 27 10.0|     |        |         |          |   45.00|        |                |            |                     |          |
|GC X-4                  |17 43 47.00|-29 26 00.0|     |        |         |          |   30.00|        |T(?)            |            |                     |          |
|XTE J1807-294           |18 06 59.80|-29 24 30.0|     |        |   0.0278|          |   58.00|        |T, P            |     0.00525|                     |          |
|IGR J17285-2922         |17 28 30.00|-29 22 00.0|     |        |         |          |    5.00|        |T               |            |                     |          |
|KS 1741-293             |17 44 51.06|-29 21 16.8|     |        |         |&lt;         |    5.00|      26|T, B            |            |                     |          |
|1E 1742.7-2902          |17 45 52.90|-29 03 22.0|     |        |         |          |    0.20|        |                |            |                     |          |
|SAX J1750.8-2900        |17 50 24.00|-29 02 18.0|     |        |         |          |  130.00|        |T, B, A?        |     0.00170|                     |          |
|AX J1745.6-2901         |17 45 36.20|-29 01 34.0|     |        |   0.3500|          |    0.40|       2|T, B, E         |            |                     |          |
|1A 1742-289             |17 45 37.00|-29 01 07.0|     |        |   0.3482|&lt;         |    9.00|    2000|T, B, E, R      |            |                     |          |
|GRS 1741.2-2859         |17 44 25.40|-29 00 45.0|     |        |         |&lt;         |    1.50|     300|                |            |                     |          |
|CXOGC J174540.0-290031  |17 45 40.03|-29 00 31.0|     |        |   0.3292|          |    0.20|        |T, M?, R?, E    |            |                     |          |
|2E 1742.5-2858          |17 45 40.96|-29 00 14.2|     |        |         |          |    1.00|       5|                |            |                     |          |
|1E 1742.2-2857          |17 45 27.00|-28 59 00.0|     |        |         |          |    0.10|        |                |            |                     |          |
|1E 1742.8-2853          |17 45 59.50|-28 55 01.0|     |        |         |          |    0.20|        |                |            |                     |          |
|GRS 1741.9-2853         |17 45 02.33|-28 54 49.7|     |        |         |          |    7.00|        |T, B            |     0.00170|AX J1745.0-2855      |          |
|1E 1743.1-2852          |17 46 19.50|-28 53 43.0|     |        |         |          |    0.20|        |                |            |                     |          |
|1E 1742.9-2852          |17 46 04.80|-28 53 13.0|     |        |         |          |    0.20|        |                |            |                     |          |
|SAX J1747.0-2853        |17 47 02.60|-28 52 58.9|     |        |         |          |  130.00|        |T, B            |            |GX +0.2-0.2          |          |
|1E 1742.9-2849          |17 46 14.10|-28 51 44.9|     |        |         |          |    0.20|        |                |            |                     |          |
|1E 1742.5-2845          |17 45 42.90|-28 46 53.0|     |        |         |          |    0.15|      26|                |            |                     |          |
|GRO J1744-28            |17 44 33.09|-28 44 27.0|     |        |  11.8342|          | 4700.00|        |T, P, B, D      |     0.46700|AX J1744.5-2844      |          |
|1E 1743.1-2843          |17 46 21.09|-28 43 42.3|     |        |         |          |    0.50|      16|                |            |                     |          |
|1RXS J175229.0-282951   |17 52 16.00|-28 30 22.0|     |        |         |          |   60.00|        |T               |            |GX 1.1-1.0           |          |
|XTE J1739-285           |17 39 53.95|-28 29 46.8|     |        |         |          |  200.00|        |T, B            |     0.00089|                     |          |
|4U 1735-28              |17 38 34.00|-28 28 42.0|     |        |         |&lt;         |    0.40|     565|T               |            |                     |          |
|XTE J1748-288           |17 48 05.06|-28 28 25.8|     |        |         |          |  640.00|        |T, M, R         |            |                     |          |
|IGR J17497-2821         |17 49 38.04|-28 21 17.4|     |        |         |          |   30.00|        |T               |            |                     |          |
|SLX 1737-282            |17 40 43.00|-28 18 11.9|     |        |         |          |    3.00|        |B               |            |2E 1737.5-2817       |          |
|XMMU J174716.0-281045   |17 47 16.17|-28 10 48.2|     |        |         |          |    0.30|      20|T?, B           |            |IGR J17464-2811      |          |
|XTE J1710-281           |17 10 12.30|-28 07 54.0|     |        |   0.1367|          |    2.00|        |T, B, E         |            |                     |          |
|GRS 1739-278            |17 42 40.03|-27 44 52.7|23.20|        |         |          |  860.00|        |T, R            |            |                     |          |
|GRO J1735-27            |17 36 02.00|-27 25 41.0|     |        |         |&lt;         |    5.00|      50|T, U            |            |RX J1735.9-2726      |          |
|IGR J17473-2721         |17 47 18.08|-27 20 38.7|     |        |         |          |   48.00|        |T               |            |XTE J1747-274        |          |
|SLX 1735-269            |17 38 17.12|-26 59 38.6|     |        |         |          |   10.00|      28|B               |            |                     |          |
|XTE J1709-267           |17 09 30.40|-26 39 19.9|     |        |         |          |  150.00|        |T, B            |            |RX J17095-266        |          |
|GX 3+1                  |17 47 56.00|-26 33 49.0|     |        |         |          |  400.00|        |B, A            |            |                     |          |
|SAX J1810.8-2609        |18 10 44.47|-26 09 01.2|     |        |         |          |   16.00|        |T, B            |            |                     |          |
|KS 1731-260             |17 34 13.47|-26 05 18.8|     |        |         |          |  180.00|        |T, B            |     0.00190|                     |          |
|GRS 1758-258            |18 01 12.40|-25 44 36.1|     |        |  18.4500|          |   20.00|        |U, M, R         |            |                     |          |
|4U 1705-250             |17 08 14.60|-25 05 29.0|15.90|    0.60|   0.5225|&lt;         |    2.00|    3600|T               |            |N Oph 1977           |          |
|4U 1758-25              |18 01 08.22|-25 04 42.5|     |        |         |          | 1250.00|        |Z, R            |            |GX 5-1               |          |
|GRO J1719-24            |17 19 36.93|-25 01 03.4|16.65|    0.90|   0.6125|          | 1500.00|        |T, R            |            |XN Oph 1993          |          |
|HETE J1900.1-2455       |19 00 08.65|-24 55 13.7|18.09|        |   0.0579|          |   55.00|        |T, P, B         |     0.00265|                     |          |
|AX J1824.5-2451         |18 24 30.00|-24 51 00.0|     |        |         |          |    2.00|        |B               |            |                     |NGC 6626  |
|EXO 1745-248            |17 48 05.20|-24 46 47.4|     |        |         |          |   54.00|     600|T, G, B, D      |            |                     |Ter 5     |
|3A 1728-247             |17 32 02.16|-24 44 44.0|18.40|    2.38|1160.8000|          |  100.00|        |P, D            |     4.00000|GX 1+4               |No. GF    |
|2S 1803-245             |18 06 50.72|-24 35 28.6|     |        |         |&lt;         |    2.00|    1000|T, B, A, R      |            |XTE J1806-246        |          |
|XTE J1818-245           |18 18 24.40|-24 32 18.0|     |        |         |          |  510.00|        |T, R            |            |                     |          |
|SAX J1753.5-2349        |17 53 34.00|-23 49 24.0|     |        |         |          |        |        |B               |            |                     |          |
|GS 1826-238             |18 29 28.20|-23 47 49.1|19.00|    0.40|   0.0870|          |   30.00|        |T, B            |            |                     |          |
|SAX J1806.5-2215        |18 06 34.00|-22 15 06.0|     |        |         |          |    9.00|        |T, B            |            |                     |          |
|4U 1730-220             |17 33 57.00|-22 02 07.0|     |        |         |&lt;         |   10.00|     130|T               |            |                     |          |
|IGR J17597-2201         |17 59 45.70|-22 01 39.0|     |        |         |          |   17.00|        |B, D            |            |XTE J1759-220        |          |
|EXO 1747-214            |17 50 24.52|-21 25 19.9|     |        |         |          |   70.00|        |T, B            |            |                     |          |
|4U 1758-20              |18 01 32.30|-20 31 44.0|     |        |         |          |  700.00|        |A               |            |GX 9+1               |          |
|SAX J1805.5-2031        |18 05 34.00|-20 30 48.0|     |        |         |          |   51.00|        |T               |            |                     |          |
|SAX J1748.9-2021        |17 48 52.16|-20 21 32.4|     |        |         |&lt;         |    0.10|     150|T, G, A, B      |     0.00240|4U 1745-203          |NGC 6440  |
|XMMU J181227.8-181234   |18 12 27.80|-18 12 34.0|     |        |         |          |  230.00|        |T               |            |                     |          |
|4U 1811-17              |18 14 31.55|-17 09 26.7|     |        |  24.0667|          |  540.00|        |B, A, R         |            |GX 13+1              |          |
|4U 1728-16              |17 31 44.20|-16 57 42.0|16.80|    0.30|   0.1750|          |  300.00|        |A               |            |GX 9+9               |          |
|H 1617-155              |16 19 55.07|-15 38 24.8|12.20|    0.20|   0.7875|          |14000.00|        |Z, M, R         |            |Sco X-1              |          |
|4U 1813-14              |18 16 01.39|-14 02 10.6|     |        |         |          | 1500.00|        |B, Z, R         |            |GX 17+2              |          |
|4U 1812-12              |18 15 06.15|-12 05 46.7|     |        |         |          |   20.00|        |B, A            |            |Ser X-2              |          |
|SAX J1828.5-1037        |18 28 25.70|-10 37 51.0|     |        |         |          |        |        |B               |            |                     |          |
|4U 1850-087             |18 53 04.86|-08 42 20.4|21.00|    0.20|   0.0143|          |   10.00|        |G, B, A, R?     |            |                     |NGC 6712  |
|XTE J2123-058           |21 23 14.54|-05 47 53.2|16.80|   -0.02|   0.2483|          |  110.00|        |T, B, A, E      |            |                     |          |
|4U 1916-05              |19 18 47.87|-05 14 17.1|21.00|    0.40|   0.0346|          |   25.00|        |B, A, D         |     0.00370|                     |          |
|XB 1940-04              |19 42 38.00|-03 54 00.0|     |        |         |&lt;         |   50.00|        |B               |            |                     |          |
|EXO 1846-031            |18 46 39.80|-03 07 21.0|     |        |         |          |  300.00|        |T, U            |            |                     |          |
|Swift J1753.5-0127      |17 53 28.29|-01 27 06.2|15.90|    0.30|         |          |  140.00|        |T, M?, R        |            |                     |          |
|1A 0620-00              |06 22 44.50|-00 20 44.7|11.20|    0.20|   0.3229|          |50000.00|        |T, U, R         |            |N Mon 1975           |          |
|4U 1823-00              |18 25 22.02|-00 00 43.0|22.00|    1.00|   0.1333|          |   25.00|      62|                |            |                     |          |
|4U 1905+000             |19 08 26.97|+00 10 07.7|20.50|    0.50|         |          |   10.00|        |T, B            |            |                     |          |
|4U 1908+005             |19 11 16.00|+00 35 06.0|14.80|    0.60|   0.7896|&lt;         |    0.10|    1300|T, B, A, R      |     0.00182|Aql X-1              |No. e     |
|3A 1837+049             |18 39 57.56|+05 02 09.6|19.20|        |         |          |  225.00|        |B, A, R         |            |Ser X-1              |No. DSe   |
|XTE J1856+053           |18 56 39.00|+05 19 48.0|     |        |         |          |   70.00|        |T               |            |                     |          |
|IGR J18539+0727         |18 53 54.00|+07 27 00.0|     |        |         |          |   20.00|        |T               |            |                     |          |
|4U 0614+091             |06 17 07.40|+09 08 13.6|18.50|    0.30|   2.0833|          |   -0.50|        |A, B, R?        |            |                     |          |
|XTE J1908+094           |19 08 53.08|+09 23 04.9|     |        |         |          |  100.00|        |T, R            |            |                     |          |
|GRS 1915+105            |19 15 11.55|+10 56 44.8|     |        |  33.5000|          |  300.00|        |T, D, M, R      |            |                     |          |
|4U 1957+11              |19 59 24.20|+11 42 32.4|18.70|    0.30|   0.3887|          |   30.00|        |U               |            |                     |          |
|CXO J212958.1+121002    |21 29 58.06|+12 10 02.6|     |        |   0.0157|          |    5.00|        |G, B            |            |M15-X2               |star      |
