Name 	P 	dP/dt 	Bsurf 	dE/dt 	Tauc 	NH 	PL Index 	BB Temp 	Unabs fx{a} 	Distance 	Lx{b} 	Assoc? 	Opt/IR? 	Bands?{c} 	Activity? 	RA, Dec
SGR 1801-23† 	... 	... 	... 	... 	... 	... 	... 	... 	... 	... 	... 	... 	... 	... 	bursts 	18h00m59s, -22°56′48″ [cfg+00]
SGR 1808-20† 	... 	... 	... 	... 	... 	... 	... 	... 	... 	... 	... 	... 	... 	... 	bursts 	18h08m11.2s, -20°38′49″ [GCN2351]
AX J1818.8-1559†{d} 	... 	... 	... 	... 	... 	3.6(5) ; 1.6(3) [met+12] 	1.17(17) [met+12] 	1.87(12) [met+12] 	1.68+0.16-0.15 ; 1.37(9) [met+12] 	... 	... 	... 	no 	X 	bursts 	18h18m51.38s, -15°59′22.62″ [met+12]
AX J1845-0258†{d} 	6.97127(28) [tkk+98] 	... 	... 	... 	... 	7.8+2.3-1.8 ; 5.6+1.6-1.2 [tkgg06] 	1.0+0.5-0.3 [tkgg06] 	2.0+0.4-0.3 [tkgg06] 	0.33+0.07-0.08 ; 0.40+0.10-0.11 [tkgg06] 	~8.5 [tkk+98] 	2.9 ; 3.5 	SNR G29.6+0.1 [ggv99] 	no 	X 	transient magnetar? 	18h44m54.68s, -02°56′53.1″ [tkgg06]
SGR 2013+34† 	... 	... 	... 	... 	... 	... 	... 	... 	... 	~8.8 [sbb+11] 	... 	W58 (giant HII complex)? [sbb+11] 	... 	... 	bursts 	20h13m56.9s, +34°19′48″ [sbb+11]
 
Name 	P 	dP/dt 	Bsurf 	dE/dt 	Tauc 	NH 	PL Index 	BB Temp 	Unabs fx{a} 	Distance 	Lx{b} 	Assoc? 	Opt/IR? 	Bands?{c} 	Activity? 	RA, Dec
  	(s) 	(10-11 s/s) 	(1014 G) 	(1033 erg/s) 	(kyr) 	(1022 cm-2) 	  	(keV) 	(10-12 erg/s/cm2) 	(kpc) 	(1033 erg/s) 	  	  	  	  	(J2000)
PSR J1846-0258‡ 	0.32657128834(4) [lnk+11] 	0.7107450(2) [lnk+11] 	0.49 	8100 	0.73 	4.0(1)* [nsgh08] 	1.1(1)* [nsgh08] 	... 	4.3(7) [5.2(7) (0.5-10 kev)]* [lnk+11] 	6.0+1.5-0.9* [lt08b] 	19 	SNR Kes 75 [gvbt00] 	no 	HX 	bursts, glitches 	18h46m24.94s, -02°58′30.1″ [hcg03]

